"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Improved Spoken Uyghur Segmentation for Neural Machine Translation","C. Mi; Y. Yang; X. Zhou; L. Wang; T. Jiang","Xinjiang Technical Institute of Physics and Chemistry of Chinese Academy of Sciences, Urumqi, China; Xinjiang Technical Institute of Physics and Chemistry of Chinese Academy of Sciences, Urumqi, China; Xinjiang Technical Institute of Physics and Chemistry of Chinese Academy of Sciences, Urumqi, China; Xinjiang Technical Institute of Physics and Chemistry of Chinese Academy of Sciences, Urumqi, China; Xinjiang Technical Institute of Physics and Chemistry of Chinese Academy of Sciences, Urumqi, China","2018 IEEE 30th International Conference on Tools with Artificial Intelligence (ICTAI)","16 Dec 2018","2018","","","47","51","To increase vocabulary overlap in spoken Uyghur neural machine translation (NMT), we propose a novel method to enhance the common used subword units based segmentation method. In particular, we apply a log-linear model as the main framework and integrate several features such as subword, morphological information, bilingual word alignment and monolingual language model into it. Experimental results show that spoken Uyghur segmentation with our proposed method improves the performance of the spoken Uyghur-Chinese NMT significantly (yield up to 1.52 BLEU improvements).","2375-0197","978-1-5386-7449-9","10.1109/ICTAI.2018.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8576016","spoken Uyghur segmentation;neural machine translation;BPE;morphologically-rich;low-resource language","Feature extraction;Vocabulary;Adaptation models;Task analysis;Training;Analytical models;Linguistics","language translation;natural language processing;neural nets;speech processing","spoken Uyghur segmentation;spoken Uyghur neural machine translation;log-linear model;monolingual language model;spoken Uyghur-Chinese NMT;subword units based segmentation method;bilingual word alignment","","","","22","IEEE","16 Dec 2018","","","IEEE","IEEE Conferences"
"Quasi Character-Level Transformers to Improve Neural Machine Translation on Small Datasets","S. Carrión; F. Casacuberta","PRHLT Research Center, Universitat Politècnica de València; PRHLT Research Center, Universitat Politècnica de València","2021 Eighth International Conference on Social Network Analysis, Management and Security (SNAMS)","16 Mar 2022","2021","","","1","6","In the Neural Machine Translation community, it is a common practice to use some form of subword segmentation to encode words as a sequence of subword units. This allows practitioners to represent their entire dataset using the least amount of tokens, thus avoiding memory and performance-related problems derived from the full wordor purely character-level representations. Even though there is strong evidence that each dataset has an optimal vocabulary size, in practice it is common to use as many “words” as possible. In this work, we show how this standard approach might be counter-productive for small datasets or low-resource environments, where models trained with quasi character-level vocabularies seem to con-sistently outperform models with large subword vocabularies. Nonetheless, these improvements come at the expense of requiring a neural architecture capable of dealing with long sequences and long-term dependencies.","","978-1-6654-9495-3","10.1109/SNAMS53716.2021.9732120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9732120","Neural Machine Translation;Deep Learning;Transformer architecture;Tokenization;Byte-Pair Encoding;Character-level","Vocabulary;Analytical models;Social networking (online);Memory management;Transformers;Data models;Probability distribution","embedded systems;language translation;natural language processing;neural nets;speech recognition;text analysis;vocabulary;word processing","long sequences;low-resource environments;neural architecture;neural machine translation community;optimal vocabulary size;performance-related problems;quasicharacter-level transformers;quasicharacter-level vocabularies;subword segmentation;subword units;subword vocabularies;wordor purely character-level representations","","","","45","IEEE","16 Mar 2022","","","IEEE","IEEE Conferences"
"The AESOP continuous speech understanding system","J. Mariani","LIMSI-CNRS, Orsay, France","ICASSP '82. IEEE International Conference on Acoustics, Speech, and Signal Processing","29 Jan 2003","1982","7","","1637","1640","The continuous speech understanding system AESOP that we are presently developing at LIMSI, has gone through several phases since the first preliminary version, AESOP0 in 1978. This version allowed for man-machine speech communication in real time, with unrestricted text-to-speech synthesis. About 80% of the sentences were correctly recognised, for a language having an average branching factor of 10. In the AESOP 1 system, sentence recognition is 90 %,(95% on words) for the same language. Apart from this improvement, the system has been designed to be used easily for artificial languages, by adding graceful interaction to define semantic grammar (including automatic grapheme-to-phoneme translation of the vocabulary) and talker adaptation. Simultaneously, we developed a method for diphone recognition of continuous speech, using a 1089-diphone dictionary. Although the results are presently mediocre on pure phoneme recognition, its use as the acoustic level of the SUS gave good results. All those systems use top-down, left-to-right strategy, with beam-search. A bottom-up approach has also been tested for future use, having a tree-structure vocabulary; this still yields the same results.","","","10.1109/ICASSP.1982.1171487","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1171487","","Speech recognition;Vocabulary;Natural languages;Dictionaries;Decoding;Prototypes;Man machine systems;Oral communication;Speech synthesis;Automatic speech recognition","","","","","","28","IEEE","29 Jan 2003","","","IEEE","IEEE Conferences"
"Performance analysis of SS based speech enhancement algorithms for ASR with Non-stationary Noisy Database-NOIZEUS","U. G. Patil; S. D. Shirbahadurkar","Electronics and Telecommunication Department, Rajarshi Shahu College of Engineering, Pune, India; Electronics and Telecommunication Dept., Zeal College of Engineering, Narhe, Pune, India","2018 2nd International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC), 2018 2nd International Conference on","28 Feb 2019","2018","","","636","641","In Human computer interface the correct translation by computer and exact perception of human depends on the quality of speech input to the machine. Hence speech enhancement technique is very essential in any HCI technique. In this paper we present an algorithm for speech enhancement on the non-stationary noisy database (NOIZEUES). The speech enhancement technique, Spectral Subtraction technique falls under the category of methods based on short time spectral amplitude (or power) estimate. This algorithm is found to be very simple and computationally efficient. Various modifications are made in the spectral subtraction technique and therefore spectral over subtraction, improved spectral over subtraction, iterative spectral over subtraction and multiband spectral subtraction techniques are derived. In this paper basic performance of spectral subtraction, spectral over subtraction and improved spectral over subtraction technique and SS with cross spectral terms with non-stationary noisy database is discussed. It is observed that algorithm works effectively to reduce additive noise present in the noisy speech signal. Limitations of spectral subtraction such as dependence on VAD accuracy and musical noise are described in the proposed paper. All listed algorithms are executed on available database experimentation results of speech and enhanced speech are provided in result section of this paper. Also numerical results are displayed graphically.","","978-1-5386-1442-6","10.1109/I-SMAC.2018.8653675","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8653675","VAD;ASR;SOS;FFT;IFFT;HCI","Speech enhancement;Noise measurement;Music;Time-domain analysis;Subtraction techniques;Airports;Conferences","human computer interaction;signal denoising;speech enhancement","HCI technique;nonstationary noisy database-NOIZEUS;human computer interface;speech input;SS based speech enhancement algorithms;enhanced speech;noisy speech signal;cross spectral terms;iterative spectral;short time spectral amplitude;spectral subtraction technique;speech enhancement technique","","","","19","IEEE","28 Feb 2019","","","IEEE","IEEE Conferences"
"An Arabic WordNet enrichment approach using machine translation and external linguistic resources","C. Lachichi; C. Bendiaf; L. Berkani; A. Guessoum","Dep. of Computer Sc., USTHB University, Algiers, Algeria; Dep. of Computer Sc., USTHB University, Algiers, Algeria; Dep. of Computer Sc., USTHB University, Algiers, Algeria; Dep. of Computer Sc., USTHB University, Algiers, Algeria","2018 2nd International Conference on Natural Language and Speech Processing (ICNLSP)","7 Jun 2018","2018","","","1","6","The development of Arabic WordNet (AWN) has provided the Arabic Natural Language Processing (NLP) community with a lexical resource. However, due to the considerable lack of AWN Synsets compared to other WordNets, the use of this resource in Arabic NLP applications cannot be considered as an option yet. In this paper, we propose an automatic approach for AWN enrichment, based on three features: (1) the translation of Princeton WordNet (PWN) words and their direct Hypernyms; (2) an automatic validation of the hypernymy relation that is suggested as existing between words using Wikipedia articles; and (3) the integration of validated Synsets in AWN including their definitions, examples and synonyms that get extracted using dictionaries and other resources. The proposed approach has been implemented and a preliminary evaluation shows that the obtained results are promising.","","978-1-5386-4543-7","10.1109/ICNLSP.2018.8374385","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8374385","Arabic WordNet;princeton WordNet;AWN anrichment;WordNet concepts alignment;machine translation;wikipedia;ranking metric;dictionaries","Encyclopedias;Electronic publishing;Internet;Dictionaries;Semantics;Natural language processing","computational linguistics;language translation;natural language processing;text analysis","Arabic WordNet enrichment approach;machine translation;external linguistic resources;lexical resource;AWN Synsets;Arabic NLP applications;automatic approach;AWN enrichment;Princeton WordNet words;automatic validation;validated Synsets;Arabic natural language processing community;PWN words;hypernymy relation;Wikipedia articles","","","","10","IEEE","7 Jun 2018","","","IEEE","IEEE Conferences"
"An Automatic Post Editing With Efficient and Simple Data Generation Method","H. Moon; C. Park; J. Seo; S. Eo; H. Lim","Department of Computer Science and Engineering, Korea University, Seoul, Republic of Korea; Department of Computer Science and Engineering, Korea University, Seoul, Republic of Korea; Department of Computer Science and Engineering, Korea University, Seoul, Republic of Korea; Department of Computer Science and Engineering, Korea University, Seoul, Republic of Korea; Department of Computer Science and Engineering, Korea University, Seoul, Republic of Korea","IEEE Access","1 Mar 2022","2022","10","","21032","21040","Automatic post-editing (APE) research considers methods for correcting translation results inferred by machine translation systems. The training of APE models, generally require triplets including a source sentence ( $src$ ), machine translation sentence ( $mt$ ), and post-edited sentence ( $pe$ ). As considerable expert-level human labor is required in creating  $pe$ , APE researches have encountered difficulty in constructing suitable dataset for most of language pairs. This has led to the absence of APE data for most of language pairs, such as Korean-English, and imposed limitation to the sustainable researches of APE. Motivated by this problem, we propose a method that can generate APE triplets using only a parallel corpus without human labor. Our proposal comprises three noise generation techniques, including random, part of speech tagging (POS) based, and semantic level noises, and the effectiveness of these methods are verified by the results of quantitative and qualitative experiments on Korean-English APE tasks. As a result of our experiments, we find that POS based noise encourages the best APE performance. The proposed method is influential in that it can obviate expert human labor which was generally required in APE data construction, and enable the sustainable APE researches for the most language pairs where human-edited APE triplets are unavailable.","2169-3536","","10.1109/ACCESS.2022.3152001","Ministry of Science and ICT (MSIT), South Korea, under the Information Technology Research Center (ITRC) Support Program IITP-2018-0-01405 supervised by the Institute of Information and Communications Technology Planning and Evaluation (IITP); Korean Government (MSIT) under IITP Grant 2020-0-00368 (A Neural-Symbolic Model for Knowledge Acquisition and Inference Techniques); MSIT under the ICT Creative Consilience Program IITP-2021-2020-0-01819 supervised by the IITP; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9714400","Automatic post editing;neural machine translation;data generation;machine translation;post editing","Mathematical models;Machine translation;Semantics;Training;Task analysis;Tagging;Planning","natural language processing","language pairs;noise generation techniques;semantic level noises;Korean-English APE tasks;APE performance;APE data construction;sustainable APE researches;human-edited APE triplets;data generation method;machine translation sentence;postedited sentence;automatic post editing;random noise;part of speech tagging based noise;POS based noise;semantic level noise","","3","","35","CCBY","15 Feb 2022","","","IEEE","IEEE Journals"
"Efficient Classification for Neural Machines Interpretations based on Mathematical models","D. K. Sharma; B. Singh; R. Regin; R. Steffi; M. K. Chakravarthi","Department of Mathematics, Jaypee University of Engineering and Technology, MP, India; Amity University, Dubai; Department of information Technology, Adhiyamaan college of Engineering, Tamil Nadu, India; Department of Electronics and Communication Engineering, Vins Christian Women's College of Engineering, Tamil Nadu; School of Electronics Engineering, VIT-AP University, Amaravathi, India","2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS)","3 Jun 2021","2021","1","","2015","2020","Developing successful embedded vision applications necessitates a detailed review of various algorithmic optimization trade-offs and a wide variety of hardware design options. This makes it difficult for developers to navigate the solution space and find design points with the best performance trade-offs. In neural machine translation, large Transformer frameworks have produced state-of-the-art results and have become the industry standard. We will clarify the mathematical mechanisms behind the paper's efficient interpretation for neural machine translations and look for the best combination of known techniques to improve interpretation speed without compromising recognition accuracy in this paper. We perform an empirical study that compares various approaches and shows that using a hybrid of decoder self-attention replacement with simplified recurrent units, a deep encoder and shallow decoder architecture, and multiple head attention reseeding can achieve up to higher accuracy. By replacing heavy functions with lighter ones and enhancing the autoencoder's layers structure, excellent results can be achieved in a harmonious mix of time series, network architecture, and probabilistic solutions.","2575-7288","978-1-6654-0521-8","10.1109/ICACCS51430.2021.9441718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9441718","Deep learning;Encoder;Natural language processing;autoregressive;Attention mechanism;Activation function;Cell weights;Neural Machine translation;Decoder","Technological innovation;Time series analysis;Computer architecture;Network architecture;Probabilistic logic;Decoding;Machine translation","computational complexity;computer vision;decoding;embedded systems;neural nets;object recognition;optimisation;program interpreters;recurrent neural nets;speech recognition","neural machines interpretations;mathematical models;successful embedded vision applications;algorithmic optimization trade-offs;hardware design options;solution space;design points;performance trade-offs;neural machine translation;Transformer frameworks;industry standard;mathematical mechanisms;efficient interpretation;interpretation speed;decoder self-attention replacement;multiple head attention reseeding","","19","","22","IEEE","3 Jun 2021","","","IEEE","IEEE Conferences"
"A Japanese preprocessor for syntactic and semantic parsing","T. Kitani; T. Mitamura","Center for Machine Translation, Carnegie Mellon University, Pittsburgh, PA, USA; Center for Machine Translation, Carnegie Mellon University, Pittsburgh, PA, USA","Proceedings of 9th IEEE Conference on Artificial Intelligence for Applications","6 Aug 2002","1993","","","86","92","The authors describe a Japanese preprocessor which includes a morphological analyzer called MAJESTY, and a proper noun identification program. The original morphological analyzer was modified to disambiguate its output when multiple possibilities for segmentations and parts of speech are found. Ambiguous segments are packed locally in the output enabling a syntactic and semantic parser to perform efficiently. Then the proper noun identification program groups several segments constructing a proper noun to present a meaningful set of segments to the parser. Tested on financial news articles, the preprocessor successfully segmented text and tagged parts of speech with greater than 98% accuracy. Over 80% of company names and 90% of personal and place names have been identified.<>","","0-8186-3840-0","10.1109/CAIA.1993.366657","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=366657","","Speech analysis;Natural languages;Morphology;Testing;Artificial intelligence;Natural language processing;Finance;Data analysis;Data mining;Performance analysis","natural languages;speech processing;grammars","syntactic parsing;ambiguous segmentation;semantic parsing;Japanese preprocessor;morphological analyzer;MAJESTY;proper noun identification program;financial news articles;tagged parts of speech;company names;place names","","1","1","6","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Efficient rule scoring for improved grapheme-based lexicons","W. Hartmann; L. Lamel; J. -L. Gauvain","Spoken Language Processing Group, LIMSI-CNRS, Orsay, France; Spoken Language Processing Group, LIMSI-CNRS, Orsay, France; Spoken Language Processing Group, LIMSI-CNRS, Orsay, France","2014 22nd European Signal Processing Conference (EUSIPCO)","13 Nov 2014","2014","","","1477","1481","For many languages, an expert-defined phonetic lexicon may not exist. One popular alternative is the use of a grapheme-based lexicon. However, there may be a significant difference between the orthography and the pronunciation of the language. In our previous work, we proposed a statistical machine translation based approach to improving grapheme-based pronunciations. Without knowledge of true target pronunciations, a phrase table was created where each individual rule improved the likelihood of the training data when applied. The approach improved recognition accuracy, but required significant computational cost. In this work, we propose an improvement that increases the speed of the process by more than 80 times without decreasing recognition accuracy.","2076-1465","978-0-9928-6261-9","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6952535","automatic speech recognition;grapheme-based speech recognition;pronunciation learning","Hidden Markov models;Abstracts;Acoustics","language translation;speech recognition;statistical analysis","rule scoring;improved grapheme-based lexicons;expert-defined phonetic lexicon;orthography;statistical machine translation based approach;language pronunciation;grapheme based pronunciations;automatic speech recognition","","","","17","","13 Nov 2014","","","IEEE","IEEE Conferences"
"Active and unsupervised learning for spoken word acquisition through a multimodal interface","N. Iwahashi","ATR Spoken Language Translation Laboratories, Soraku-gun, Kyoto, Japan","RO-MAN 2004. 13th IEEE International Workshop on Robot and Human Interactive Communication (IEEE Catalog No.04TH8759)","10 Jan 2005","2004","","","437","442","This work presents a new interactive learning method for spoken word acquisition through human-machine multimodal interfaces. During the course of learning, a machine makes a decision about whether an orally input word is a word in the lexicon the machine has learned using both speech and visual cues. Learning is carried out on-line, incrementally, based on a combination of active and unsupervised learning principles. If the machine judges with a high degree of confidence that its decision is correct, it learns the statistical models of the word and a corresponding image class as its meaning in an unsupervised way. Otherwise, it asks the user a question in an active way. The function used to estimate the degree of confidence is also learned adaptively on-line. Experimental results show that the method enables a machine and a user to adapt to each other, which makes the learning process more efficient.","","0-7803-8570-5","10.1109/ROMAN.2004.1374800","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1374800","","Unsupervised learning;Natural languages;Machine learning;Speech;Learning systems;Man machine systems;Ubiquitous computing;Humans;Robot sensing systems;Intelligent robots","speech-based user interfaces;speech processing;unsupervised learning;decision making;statistical analysis","unsupervised learning;spoken word acquisition;human-machine multimodal interfaces;interactive learning;decision making;adaptive online learning;statistical word models","","12","","14","IEEE","10 Jan 2005","","","IEEE","IEEE Conferences"
"Spoken Language Identification Based on I-vectors and Conditional Random Fields","P. Heracleous; Y. Mohammad; K. Takai; K. Yasuda; A. Yoneyama","KDDI Research, Inc., 2-1-15 Ohara, Fujimino-shi, Saitama, Japan; Artificial Intelligence Research Center, AIST; KDDI Research, Inc., 2-1-15 Ohara, Fujimino-shi, Saitama, Japan; Artificial Intelligence Research Center, AIST; Artificial Intelligence Research Center, AIST","2018 14th International Wireless Communications & Mobile Computing Conference (IWCMC)","30 Aug 2018","2018","","","1443","1447","The task of an automatic language identification (LID) system is to automatically identify the language in a spoken utterance. Language identification can be applied as front-end to speech-to-speech translation systems, in speaker diarization, and at call centers to automatically route incoming calls to appropriate native speaker operators. In the current study, a method for automatic language identification based on i-vector paradigm and conditional random fields (CRF) is presented. CRF belong to discriminative classifiers and use an exponential distribution to model a sequence given the observation sequence. This allows non-independent observations, and allows also non-local dependencies between state and observation. When the proposed method is evaluated on the NIST 2015 i-vector Machine Learning Challenge task for the recognition of 50 in-set languages, a 3.7% equal error rate (EER) (i.e., miss probability equal to false alarms) is achieved. Using support vector machines (SVM) a 5.2% EER, using probabilistic linear discriminant analysis (PLDA) a 6.7% EER, and when using convolutional neural networks (CNN) a 4.2% EER are achieved.","2376-6506","978-1-5386-2070-0","10.1109/IWCMC.2018.8450327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8450327","","Support vector machines;Hidden Markov models;Training;Task analysis;Machine learning;NIST;Training data","feedforward neural nets;language translation;learning (artificial intelligence);natural language processing;probability;speaker recognition;speech recognition;support vector machines","equal error rate;EER;NIST 2015 i-vector Machine Learning Challenge task;SVM;probabilistic linear discriminant analysis;PLDA;convolutional neural networks;CNN;support vector machines;in-set languages;nonlocal dependencies;nonindependent observations;observation sequence;CRF;i-vector paradigm;appropriate native speaker operators;call centers;speaker diarization;speech-to-speech translation systems;spoken utterance;automatic language identification system;conditional random fields;spoken language identification","","4","","27","IEEE","30 Aug 2018","","","IEEE","IEEE Conferences"
"Japanese named entity recognition for question answering system","Y. Liu; F. Ren","Graduate School of Advanced Technology and Science, University of Tokushima, Tokushima, Japan; AIM, Hefei University of technology, China","2011 IEEE International Conference on Cloud Computing and Intelligence Systems","13 Oct 2011","2011","","","402","406","Current question answering (QA) systems usually contain named entity recognizer (NER) as a core component. NER is an important and difficult task in computational linguistics. It plays an important role in natural language processing application such as Question Answering, Machine Translation, and Information Retrieval etc. NER includes the identification and classification of certain proper nouns (like location, organization, person, data, money and others) in a text. The purpose of our study is to recognize and extract the exact Japanese sight seeing domain named entities. It is a basic step for the following processing: question analysis and keyword extraction information retrieval. As well as, through doing the named entity recognition, we consider that it can mine exact information from text document to respond to user. This paper describes how to do the Japanese sightseeing named entity recognition due to we are constructing a Japanese sightseeing question answering system. We adopt the hybrid method which combined with machine learning and rule-base method. In the experiment of Japanese sightseeing domain named entity recognition we have got excellent precision and recalling rates. It shows that our method is effective and can be used in a practical question answering system.","2376-595X","978-1-61284-204-2","10.1109/CCIS.2011.6045098","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6045098","question answering system;named entity recognition;machine learning;rule-base","Organizations;Educational institutions;Training;Text recognition;Machine learning;Support vector machines;Data mining","information retrieval;language translation;natural language processing;speech recognition","Japanese named entity recognition;question answering system;QA;NER;computational linguistics;natural language processing;machine translation;keyword extraction information retrieval;text document","","3","","15","IEEE","13 Oct 2011","","","IEEE","IEEE Conferences"
"A syntactic language model based on incremental CCG parsing","H. Hassan; K. Sima'an; A. Way","School of Computing, University of Dublin, Dublin, Ireland; Language and Computations Universiteit van Amsterdam, Amsterdam, Netherlands; School of Computing, University of Dublin, Dublin, Ireland","2008 IEEE Spoken Language Technology Workshop","6 Feb 2009","2008","","","205","208","Syntactically-enriched language models (parsers) constitute a promising component in applications such as machine translation and speech-recognition. To maintain a useful level of accuracy, existing parsers are non-incremental and must span a combinatorially growing space of possible structures as every input word is processed. This prohibits their incorporation into standard linear-time decoders. In this paper, we present an incremental, linear-time dependency parser based on Combinatory Categorial Grammar (CCG) and classification techniques. We devise a deterministic transform of CCG-bank canonical derivations into incremental ones, and train our parser on this data. We discover that a cascaded, incremental version provides an appealing balance between efficiency and accuracy.","","978-1-4244-3471-8","10.1109/SLT.2008.4777876","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4777876","Natural languages;Language Modeling;Grammar","Natural languages;Context modeling;Decoding;Speech recognition;Assembly;Probability;Large-scale systems;Delay;Usability;Tin","language translation;speech recognition","syntactic language model;incremental CCG parsing;machine translation;speech-recognition;parsers;standard linear-time decoders;Combinatory Categorial Grammar;CCG-bank canonical derivations","","3","","10","IEEE","6 Feb 2009","","","IEEE","IEEE Conferences"
"Improving Minimal Gated Unit for Sequential Data","K. Takamura; S. Yamane","Kanazawa University, Kakuma-machi, Kanazawa, Japan; Kanazawa University, Kakuma-machi, Kanazawa, Japan","2019 IEEE 8th Global Conference on Consumer Electronics (GCCE)","27 Feb 2020","2019","","","696","698","In order to obtain a model which can process sequential data related to machine translation and speech recognition faster and more accurately, we propose adopting Chrono Initializer as the initialization method of Minimal Gated Unit. We evaluated the method with two tasks: adding task and copy task. As a result of the experiment, the effectiveness of the proposed method was confirmed.","2378-8143","978-1-7281-3575-5","10.1109/GCCE46687.2019.9015461","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9015461","","Task analysis;Logic gates;Recurrent neural networks;Mathematical model;Data models;Speech recognition;Entropy","data handling;language translation;speech recognition","Minimal Gated Unit;sequential data;machine translation;speech recognition;Chrono Initializer;initialization method;adding task;copy task","","","","5","IEEE","27 Feb 2020","","","IEEE","IEEE Conferences"
"Self-Attention With Restricted Time Context And Resolution In Dnn Speech Enhancement","M. Strake; A. Behlke; T. Fingscheidt","Institute for Communications Technology, Technische Universität Braunschweig, Braunschweig, Germany; Institute for Communications Technology, Technische Universität Braunschweig, Braunschweig, Germany; Institute for Communications Technology, Technische Universität Braunschweig, Braunschweig, Germany","2022 International Workshop on Acoustic Signal Enhancement (IWAENC)","17 Oct 2022","2022","","","1","5","The multi-head attention mechanism, which has been successfully applied in, e.g., machine translation and ASR, was also found to be a promising approach for temporal modeling in speech enhancement DNNs. Since speech enhancement can be expected to take less profit from long-term temporal context than machine translation or ASR, we propose to employ self-attention with modified context access. We first show that a restriction of the employed temporal context in the self-attention layers of a CNN-based network architecture is crucial for good speech enhancement performance. Furthermore, we propose to combine restricted attention with a subsampled attention variant that considers long-term context with a lower temporal resolution, which helps to effectively consider both long- and short-term context. We show that our proposed attention-based network outperforms similar networks using RNNs for temporal modeling as well as a strong reference method using unrestricted attention.","","978-1-6654-6867-1","10.1109/IWAENC53105.2022.9914702","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9914702","Speech enhancement;attention;fully convolutional networks;temporal modeling","Convolution;Conferences;Speech enhancement;Network architecture;Data models;Acoustics;Machine translation","convolutional neural nets;deep learning (artificial intelligence);signal resolution;speech enhancement","speech enhancement;multihead attention mechanism;DNNs;long-term temporal context;self-attention layers;CNN-based network architecture;subsampled attention variant;attention-based network;temporal modeling;temporal resolution","","1","","30","IEEE","17 Oct 2022","","","IEEE","IEEE Conferences"
"A multilingual chat system with image presentation for detecting mistranslation","E. Hosogai; T. Mukai; S. Jung; Y. Kowase; A. Bossard; Y. Xu; M. Ishikawa; K. Kaneko","Department Computer and Information Sciences, Tokyo University of Agriculture슠and슠Technology, Koganei, Tokyo, Japan; Department Computer and Information Sciences, Tokyo University of Agriculture슠and슠Technology, Koganei, Tokyo, Japan; Department Computer and Information Sciences, Tokyo University of Agriculture슠and슠Technology, Koganei, Tokyo, Japan; Department Computer and Information Sciences, Tokyo University of Agriculture슠and슠Technology, Koganei, Tokyo, Japan; Department Computer and Information Sciences, Tokyo University of Agriculture슠and슠Technology, Koganei, Tokyo, Japan; Department Computer and Information Sciences, Tokyo University of Agriculture슠and슠Technology, Koganei, Tokyo, Japan; Department Business Administration, Tokyo University of Agriculture슠and슠Technology, Koganei, Tokyo, Japan; Department Computer and Information Sciences, Tokyo University of Agriculture슠and슠Technology, Koganei, Tokyo, Japan","Proceedings of the ITI 2011, 33rd International Conference on Information Technology Interfaces","4 Aug 2011","2011","","","287","292","We have designed and developed a multilingual chat system, MCHI (Multilingual Chat with Hint Images), which is based on machine translation and equipped with a presentation function of images related to the contents of the messages by utterers so that listeners are able to notice the mistranslation. MCHI accepts English, French, Chinese, Japanese, and Korean languages. It uses Google API to retrieve related images from the image posting site Flickr. As a result of evaluation experiment, we have observed that participants detected the mismatch of a translated message with its related image. According to the answers of participants for a question in a questionnaire, it turned out that the usability of the MCHI system is good enough though the related images are not satisfactory.","1330-1012","978-1-61284-897-6","10.2498/cit.1002028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5974037","machine translation;image retrieval;keywords;morphological analysis","Google;Image retrieval;Collaborative work;Time factors;Servers;Speech;Agriculture","application program interfaces;image retrieval;language translation;natural languages","image presentation;mistranslation detection;multilingual chat with hint images;MCHI;machine translation;English language;French language;Chinese language;Japanese language;Korean language;Google API;Flickr","","1","","8","","4 Aug 2011","","","IEEE","IEEE Conferences"
"General labelled data generator framework for network machine learning","K. Kim; Y. -G. Hong; Y. -H. Han","ETRI, Daejeon, Korea; ETRI, Daejeon, Korea; KOREATECH, Cheonan-si, Chungcheongnam-do, Korea","2018 20th International Conference on Advanced Communication Technology (ICACT)","26 Mar 2018","2018","","","127","131","Artificial Intelligence (AI) technology has made remarkable achievements in various fields. Especially, deep learning technology that is the representative technology of AI, showed high accuracy in speech recognition, image recognition, pattern recognition, natural language processing and translation. In addition, there are many interesting research results such as art, literature and music that cannot be distinguished whether it was made by human or AI. In the field of networks, attempts to solve problems that have not been able to be solved or complex problems using AI have started to become a global trend. However, there is a lack of data sets to apply machine learning to the network and it is difficult to know network problem to solve. So far, there have been a lot of efforts to study network machine learning, but there are few studies to make a necessary dataset. In this paper, we introduce basic network machine learning technology and propose a method to easily generate data for network machine learning. Based on the data generation framework proposed in this paper, the results of automatic generation of labelled data and the results of learning and inferencing from the corresponding dataset are also provided.","","979-11-88428-01-4","10.23919/ICACT.2018.8323670","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8323670","machine learning;data generator;deep learning;network machine learning;supervised learning","Machine learning algorithms;Payloads;Databases;Protocols;Generators;Supervised learning","data handling;learning (artificial intelligence)","complex problems;music;literature;translation;natural language processing;pattern recognition;image recognition;speech recognition;deep learning technology;AI;Artificial Intelligence technology;general labelled data;data generation framework;basic network machine;network machine learning;data sets","","1","","11","","26 Mar 2018","","","IEEE","IEEE Conferences"
